id,title,description,layer,phase_dir,check_type,deps,context_from,wave,status,findings,gaps_found,fix_plan,error
"1","Truth: 模块协议支持五个标准方法","验证模块协议定义了 status/start/stop/logs/settings 五个标准方法，通过检查 src/types/module.ts 接口定义","truth",".workflow/scratch/phase-1.1-module-protocol/","observable_behavior","","","1","pending","","","",""
"2","Truth: 三种适配器可以管理进程生命周期","验证 Node.js/Python/Shell 三种适配器都能启动、停止和查询进程状态","truth",".workflow/scratch/phase-1.1-module-protocol/","observable_behavior","","","1","pending","","","",""
"3","Truth: 文档和示例完整可用","验证接入指南完整且三种类型的示例模块都存在","truth",".workflow/scratch/phase-1.1-module-protocol/","observable_behavior","","","1","pending","","","",""
"4","Artifact Exists: docs/module-protocol.md","检查 L1 存在性：验证文件 docs/module-protocol.md 存在","artifact",".workflow/scratch/phase-1.1-module-protocol/","exists","","","1","pending","","","",""
"5","Artifact Exists: src/types/module.ts","检查 L1 存在性：验证文件 src/types/module.ts 存在","artifact",".workflow/scratch/phase-1.1-module-protocol/","exists","","","1","pending","","","",""
"6","Artifact Exists: src/adapters/base-adapter.ts","检查 L1 存在性：验证文件 src/adapters/base-adapter.ts 存在","artifact",".workflow/scratch/phase-1.1-module-protocol/","exists","","","1","pending","","","",""
"7","Artifact Exists: src/adapters/nodejs-adapter.ts","检查 L1 存在性：验证文件 src/adapters/nodejs-adapter.ts 存在","artifact",".workflow/scratch/phase-1.1-module-protocol/","exists","","","1","pending","","","",""
"8","Artifact Exists: src/adapters/python-adapter.ts","检查 L1 存在性：验证文件 src/adapters/python-adapter.ts 存在","artifact",".workflow/scratch/phase-1.1-module-protocol/","exists","","","1","pending","","","",""
"9","Artifact Exists: src/adapters/shell-adapter.ts","检查 L1 存在性：验证文件 src/adapters/shell-adapter.ts 存在","artifact",".workflow/scratch/phase-1.1-module-protocol/","exists","","","1","pending","","","",""
"10","Artifact Exists: docs/getting-started.md","检查 L1 存在性：验证文件 docs/getting-started.md 存在","artifact",".workflow/scratch/phase-1.1-module-protocol/","exists","","","1","pending","","","",""
"11","Artifact Exists: examples/nodejs-module/","检查 L1 存在性：验证目录 examples/nodejs-module/ 存在","artifact",".workflow/scratch/phase-1.1-module-protocol/","exists","","","1","pending","","","",""
"12","Artifact Exists: examples/python-module/","检查 L1 存在性：验证目录 examples/python-module/ 存在","artifact",".workflow/scratch/phase-1.1-module-protocol/","exists","","","1","pending","","","",""
"13","Artifact Exists: examples/shell-module/","检查 L1 存在性：验证目录 examples/shell-module/ 存在","artifact",".workflow/scratch/phase-1.1-module-protocol/","exists","","","1","pending","","","",""
"14","Artifact Substance: src/types/module.ts","检查 L2 实质性：验证 src/types/module.ts 包含完整的 ModuleProtocol 接口定义，不是占位符","artifact",".workflow/scratch/phase-1.1-module-protocol/","substance","5","5","2","pending","","","",""
"15","Artifact Substance: src/adapters/base-adapter.ts","检查 L2 实质性：验证 src/adapters/base-adapter.ts 包含真实的基础适配器实现，不是占位符","artifact",".workflow/scratch/phase-1.1-module-protocol/","substance","6","6","2","pending","","","",""
"16","Artifact Substance: src/adapters/nodejs-adapter.ts","检查 L2 实质性：验证 src/adapters/nodejs-adapter.ts 包含真实的 Node.js 适配器实现，不是占位符","artifact",".workflow/scratch/phase-1.1-module-protocol/","substance","7","7","2","pending","","","",""
